roof_type,roof_shape,roof_deck_attachment,roof_deck_attachment_label,roof_wall_connection,size_bucket,min_roof_sqft,max_roof_sqft,occupation_code,occupation,roof_type_base_person_hours_per_sqft,shape_factor,deck_attachment_factor,wall_connection_factor,occupation_labor_share,scenario_total_base_person_hours_per_sqft,base_person_hours_per_sqft,startup_total_person_hours,startup_person_hours,source_id,evidence_type,confidence,calibration_status,notes
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,medium,1500,3000.0,47-1011,First-Line Supervisors of Construction Trades,0.025,0.9,1.0,1.08,0.07,0.0243,0.001701,16.0,1.12,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,medium,1500,3000.0,49-0000,"Installation, Maintenance, and Repair Occupations",0.025,0.9,1.0,1.08,0.04,0.0243,0.000972,16.0,0.64,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,medium,1500,3000.0,41-3021,Insurance Sales Agents,0.025,0.9,1.0,1.08,0.01,0.0243,0.000243,16.0,0.16,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,medium,1500,3000.0,11-3061,Purchasing Managers,0.025,0.9,1.0,1.08,0.02,0.0243,0.000486,16.0,0.32,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,medium,1500,3000.0,47-2181,Roofers,0.025,0.9,1.0,1.08,0.55,0.0243,0.013365,16.0,8.8,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,large,3001,,13-1031,"Claims Adjusters, Examiners, and Investigators",0.025,0.9,1.0,1.08,0.01,0.0243,0.000243,12.0,0.12,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,large,3001,,47-2061,Construction Laborers,0.025,0.9,1.0,1.08,0.2,0.0243,0.00486,12.0,2.4,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,large,3001,,11-9021,Construction Managers,0.025,0.9,1.0,1.08,0.05,0.0243,0.001215,12.0,0.6,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,large,3001,,47-4011,Construction and Building Inspectors,0.025,0.9,1.0,1.08,0.02,0.0243,0.000486,12.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,large,3001,,13-1051,Cost Estimators,0.025,0.9,1.0,1.08,0.03,0.0243,0.000729,12.0,0.36,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,large,3001,,47-1011,First-Line Supervisors of Construction Trades,0.025,0.9,1.0,1.08,0.07,0.0243,0.001701,12.0,0.84,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,large,3001,,49-0000,"Installation, Maintenance, and Repair Occupations",0.025,0.9,1.0,1.08,0.04,0.0243,0.000972,12.0,0.48,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,large,3001,,41-3021,Insurance Sales Agents,0.025,0.9,1.0,1.08,0.01,0.0243,0.000243,12.0,0.12,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,large,3001,,11-3061,Purchasing Managers,0.025,0.9,1.0,1.08,0.02,0.0243,0.000486,12.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,large,3001,,47-2181,Roofers,0.025,0.9,1.0,1.08,0.55,0.0243,0.013365,12.0,6.6,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,small,0,1499.0,13-1031,"Claims Adjusters, Examiners, and Investigators",0.025,0.9,1.0,1.0,0.01,0.0225,0.000225,24.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,small,0,1499.0,47-2061,Construction Laborers,0.025,0.9,1.0,1.0,0.2,0.0225,0.0045,24.0,4.8,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,small,0,1499.0,11-9021,Construction Managers,0.025,0.9,1.0,1.0,0.05,0.0225,0.001125,24.0,1.2,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,small,0,1499.0,47-4011,Construction and Building Inspectors,0.025,0.9,1.0,1.0,0.02,0.0225,0.00045,24.0,0.48,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,small,0,1499.0,13-1051,Cost Estimators,0.025,0.9,1.0,1.0,0.03,0.0225,0.000675,24.0,0.72,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,small,0,1499.0,47-1011,First-Line Supervisors of Construction Trades,0.025,0.9,1.0,1.0,0.07,0.0225,0.001575,24.0,1.68,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,small,0,1499.0,49-0000,"Installation, Maintenance, and Repair Occupations",0.025,0.9,1.0,1.0,0.04,0.0225,0.0009,24.0,0.96,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,small,0,1499.0,41-3021,Insurance Sales Agents,0.025,0.9,1.0,1.0,0.01,0.0225,0.000225,24.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,small,0,1499.0,11-3061,Purchasing Managers,0.025,0.9,1.0,1.0,0.02,0.0225,0.00045,24.0,0.48,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,small,0,1499.0,47-2181,Roofers,0.025,0.9,1.0,1.0,0.55,0.0225,0.012375,24.0,13.2,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,medium,1500,3000.0,13-1031,"Claims Adjusters, Examiners, and Investigators",0.025,0.9,1.0,1.0,0.01,0.0225,0.000225,16.0,0.16,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,medium,1500,3000.0,47-2061,Construction Laborers,0.025,0.9,1.0,1.0,0.2,0.0225,0.0045,16.0,3.2,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,medium,1500,3000.0,11-9021,Construction Managers,0.025,0.9,1.0,1.0,0.05,0.0225,0.001125,16.0,0.8,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,medium,1500,3000.0,47-4011,Construction and Building Inspectors,0.025,0.9,1.0,1.0,0.02,0.0225,0.00045,16.0,0.32,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,medium,1500,3000.0,13-1051,Cost Estimators,0.025,0.9,1.0,1.0,0.03,0.0225,0.000675,16.0,0.48,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,medium,1500,3000.0,47-1011,First-Line Supervisors of Construction Trades,0.025,0.9,1.0,1.0,0.07,0.0225,0.001575,16.0,1.12,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,medium,1500,3000.0,49-0000,"Installation, Maintenance, and Repair Occupations",0.025,0.9,1.0,1.0,0.04,0.0225,0.0009,16.0,0.64,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,medium,1500,3000.0,41-3021,Insurance Sales Agents,0.025,0.9,1.0,1.0,0.01,0.0225,0.000225,16.0,0.16,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,medium,1500,3000.0,11-3061,Purchasing Managers,0.025,0.9,1.0,1.0,0.02,0.0225,0.00045,16.0,0.32,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,medium,1500,3000.0,47-2181,Roofers,0.025,0.9,1.0,1.0,0.55,0.0225,0.012375,16.0,8.8,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,large,3001,,13-1031,"Claims Adjusters, Examiners, and Investigators",0.025,0.9,1.0,1.0,0.01,0.0225,0.000225,12.0,0.12,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,large,3001,,47-2061,Construction Laborers,0.025,0.9,1.0,1.0,0.2,0.0225,0.0045,12.0,2.4,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,large,3001,,11-9021,Construction Managers,0.025,0.9,1.0,1.0,0.05,0.0225,0.001125,12.0,0.6,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,large,3001,,47-4011,Construction and Building Inspectors,0.025,0.9,1.0,1.0,0.02,0.0225,0.00045,12.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,large,3001,,13-1051,Cost Estimators,0.025,0.9,1.0,1.0,0.03,0.0225,0.000675,12.0,0.36,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,large,3001,,47-1011,First-Line Supervisors of Construction Trades,0.025,0.9,1.0,1.0,0.07,0.0225,0.001575,12.0,0.84,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,large,3001,,49-0000,"Installation, Maintenance, and Repair Occupations",0.025,0.9,1.0,1.0,0.04,0.0225,0.0009,12.0,0.48,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,large,3001,,41-3021,Insurance Sales Agents,0.025,0.9,1.0,1.0,0.01,0.0225,0.000225,12.0,0.12,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,large,3001,,11-3061,Purchasing Managers,0.025,0.9,1.0,1.0,0.02,0.0225,0.00045,12.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",toe_nail,large,3001,,47-2181,Roofers,0.025,0.9,1.0,1.0,0.55,0.0225,0.012375,12.0,6.6,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,small,0,1499.0,13-1031,"Claims Adjusters, Examiners, and Investigators",0.025,0.9,1.15,1.08,0.01,0.027945,0.00027945,24.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,small,0,1499.0,47-2061,Construction Laborers,0.025,0.9,1.15,1.08,0.2,0.027945,0.005589,24.0,4.8,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,small,0,1499.0,11-9021,Construction Managers,0.025,0.9,1.15,1.08,0.05,0.027945,0.00139725,24.0,1.2,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,small,0,1499.0,47-4011,Construction and Building Inspectors,0.025,0.9,1.15,1.08,0.02,0.027945,0.0005589,24.0,0.48,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,small,0,1499.0,13-1051,Cost Estimators,0.025,0.9,1.15,1.08,0.03,0.027945,0.00083835,24.0,0.72,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,small,0,1499.0,47-1011,First-Line Supervisors of Construction Trades,0.025,0.9,1.15,1.08,0.07,0.027945,0.00195615,24.0,1.68,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,small,0,1499.0,49-0000,"Installation, Maintenance, and Repair Occupations",0.025,0.9,1.15,1.08,0.04,0.027945,0.0011178,24.0,0.96,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,small,0,1499.0,41-3021,Insurance Sales Agents,0.025,0.9,1.15,1.08,0.01,0.027945,0.00027945,24.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,small,0,1499.0,11-3061,Purchasing Managers,0.025,0.9,1.15,1.08,0.02,0.027945,0.0005589,24.0,0.48,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,small,0,1499.0,47-2181,Roofers,0.025,0.9,1.15,1.08,0.55,0.027945,0.01536975,24.0,13.2,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,medium,1500,3000.0,13-1031,"Claims Adjusters, Examiners, and Investigators",0.025,0.9,1.15,1.08,0.01,0.027945,0.00027945,16.0,0.16,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,medium,1500,3000.0,47-2061,Construction Laborers,0.025,0.9,1.15,1.08,0.2,0.027945,0.005589,16.0,3.2,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,medium,1500,3000.0,11-9021,Construction Managers,0.025,0.9,1.15,1.08,0.05,0.027945,0.00139725,16.0,0.8,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,medium,1500,3000.0,47-4011,Construction and Building Inspectors,0.025,0.9,1.15,1.08,0.02,0.027945,0.0005589,16.0,0.32,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,medium,1500,3000.0,13-1051,Cost Estimators,0.025,0.9,1.15,1.08,0.03,0.027945,0.00083835,16.0,0.48,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,medium,1500,3000.0,47-1011,First-Line Supervisors of Construction Trades,0.025,0.9,1.15,1.08,0.07,0.027945,0.00195615,16.0,1.12,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,medium,1500,3000.0,49-0000,"Installation, Maintenance, and Repair Occupations",0.025,0.9,1.15,1.08,0.04,0.027945,0.0011178,16.0,0.64,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,medium,1500,3000.0,41-3021,Insurance Sales Agents,0.025,0.9,1.15,1.08,0.01,0.027945,0.00027945,16.0,0.16,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,medium,1500,3000.0,11-3061,Purchasing Managers,0.025,0.9,1.15,1.08,0.02,0.027945,0.0005589,16.0,0.32,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,medium,1500,3000.0,47-2181,Roofers,0.025,0.9,1.15,1.08,0.55,0.027945,0.01536975,16.0,8.8,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,large,3001,,13-1031,"Claims Adjusters, Examiners, and Investigators",0.025,0.9,1.15,1.08,0.01,0.027945,0.00027945,12.0,0.12,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,large,3001,,47-2061,Construction Laborers,0.025,0.9,1.15,1.08,0.2,0.027945,0.005589,12.0,2.4,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,large,3001,,11-9021,Construction Managers,0.025,0.9,1.15,1.08,0.05,0.027945,0.00139725,12.0,0.6,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,large,3001,,47-4011,Construction and Building Inspectors,0.025,0.9,1.15,1.08,0.02,0.027945,0.0005589,12.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,large,3001,,13-1051,Cost Estimators,0.025,0.9,1.15,1.08,0.03,0.027945,0.00083835,12.0,0.36,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,large,3001,,47-1011,First-Line Supervisors of Construction Trades,0.025,0.9,1.15,1.08,0.07,0.027945,0.00195615,12.0,0.84,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,large,3001,,49-0000,"Installation, Maintenance, and Repair Occupations",0.025,0.9,1.15,1.08,0.04,0.027945,0.0011178,12.0,0.48,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,large,3001,,41-3021,Insurance Sales Agents,0.025,0.9,1.15,1.08,0.01,0.027945,0.00027945,12.0,0.12,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,large,3001,,11-3061,Purchasing Managers,0.025,0.9,1.15,1.08,0.02,0.027945,0.0005589,12.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",strap,large,3001,,47-2181,Roofers,0.025,0.9,1.15,1.08,0.55,0.027945,0.01536975,12.0,6.6,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_8d_mix_6in_6in,"6d/8d mix @ 6""/6""",toe_nail,small,0,1499.0,13-1031,"Claims Adjusters, Examiners, and Investigators",0.025,0.9,1.15,1.0,0.01,0.025875,0.00025875,24.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
